slug,total_downloads,rating_user,num_reviewers,plugin_age_since_release,last_update_year,freq_update_per_year,wp_requires,wp_tested,support_response_rate,open_issues,num_files,num_php_files,loc,plugin_size_kb,vulnerable
force-regenerate-thumbnails,4838193,94,183,13,1,1,6.6,6.9.1,0,1,9,3,1273,65.29,0
imsanity,4440967,98,291,14,1,1,6.6,6.9.1,1,0,19,7,2485,195.88,0
wpcf7-recaptcha,3901651,100,89,7,1,1,4.9,6.7.4,0,0,8,3,888,130.17,0
recent-posts-widget-with-thumbnails,3597867,96,212,11,1,1,4.6,6.9.1,0.8,1,9,5,1290,121.84,0
kliken-marketing-for-google,3453755,54,29,6,1,1,5.8,6.9.1,0,0,74,46,2841,402.83,0
easy-google-fonts,3371060,92,218,12,4,0.25,5.8,5.8.12,0,0,87,16,2145,2153.42,0
block-bad-queries,3251096,98,156,16,1,1,4.7,6.9.1,0,0,16,3,374,341.13,0
simple-social-icons,3238060,86,91,14,1,1,4,6.9.1,0,0,50,2,783,869.22,0
woocommerce-direct-checkout,3123080,96,403,12,1,1,4.7,6.9.1,1,0,140,88,8428,1007.15,0
simple-custom-css,3065582,94,159,12,1,1,3.0.1,6.7.4,0,0,22,4,374,1721.62,0
cyr2lat,3061532,94,97,18,1,1,5.3,6.9.1,0.6,2,65,41,11961,417.52,0
disable-remove-google-fonts,2836132,90,46,6,1,1,4.8,6.9.1,0,0,12,5,1202,128.13,0
ssl-insecure-content-fixer,2648924,96,221,13,1,1,4,6.9.1,0,0,23,12,1202,69.37,0
mailgun,2629511,76,48,13,1,1,5.6,6.8.3,0,1,29,8,2797,584.31,0
cache-enabler,2604242,86,138,10,1,1,5.1,6.9.1,0,3,10,7,4409,212.32,0
acf-content-analysis-for-yoast-seo,2531118,84,34,10,1,1,6.6,6.9.1,0,1,80,37,3797,281.72,0
fast-indexing-api,2507996,72,36,6,1,1,5.6,6.6.4,0,0,717,669,98213,3708.93,0
search-regex,2378500,94,97,18,1,1,6.5,6.9.1,1,0,108,99,11889,852.34,0
statify,2375052,96,50,14,1,1,4.7,6.9.1,1,0,29,14,1867,405.5,0
woocommerce-legacy-rest-api,2292185,30,27,2,1,1,6.2,FALSE,0,0,46,43,19929,747.23,0
q2w3-fixed-widget,2291748,94,261,13,2,0.5,5,6.2.8,0,0,9,3,519,154.74,0
jetpack-protect,2288907,94,119,3,1,1,6.7,6.9.1,1,0,508,303,81242,8981.51,0
go-live-update-urls,2271581,90,59,14,1,1,6.2.0,6.9.1,0,0,24,14,1738,103.26,0
head-footer-code,2247216,100,52,10,1,1,4.9,7,0,1,23,14,2508,149.46,0
varnish-http-purge,2159337,88,26,14,1,1,5,6.9.1,1,0,25,7,5742,1036.46,0
gosmtp,2070570,82,8,3,1,1,5.5,6.9.1,0,1,44,17,3119,301.17,0
connect-polylang-elementor,2031919,96,50,7,1,1,5.4,6.9.1,0.2,4,275,18,2839,575.75,0
siteground-migrator,2013736,86,393,7,1,1,4.8,6.9.1,0,0,86,61,7215,858.19,0
wpcat2tag-importer,1790535,86,16,15,1,1,3,6.7.4,0,0,3,1,401,25.46,0
nav-menu-roles,1741173,98,218,13,1,1,4.5.0,6.8.0,0,0,17,9,1638,104.71,0
custom-post-type-permalinks,1710618,96,71,14,1,1,6.1,6.6.4,0,0,27,11,1692,183.77,0
advanced-excerpt,1541451,86,101,18,2,0.5,3.2,6.4.7,0,2,13,6,810,129.66,0
edit-author-slug,1523204,96,84,16,1,1,5.8,6.8.3,0,0,17,10,2284,131.75,0
contact-form-7-image-captcha,1518109,94,49,10,1,1,4.7,6.9.1,0,0,52,5,524,1245.18,0
ele-custom-skin,1490242,94,116,7,1,1,5,6.5.7,0,0,32,20,2389,499.61,0
keon-toolset,1487796,0,0,5,1,1,4.6,6.9.1,0,0,20,8,1459,439.21,0
automatic-translator-addon-for-loco-translate,1476065,98,631,6,1,1,5,6.9.1,0,0,68,13,2593,2770.6,0
variation-swatches-for-woocommerce,1440887,74,59,9,1,1,4.5,6.9.1,0,1,55,25,4824,563.6,0
easy-theme-and-plugin-upgrades,1436270,94,117,14,3,0.333,4.4,5.7.14,0,0,14,10,824,52.37,0
schema,1414502,86,221,9,1,1,4,6.8.3,0,0,153,72,13656,3849.68,0
addquicktag,1384919,94,44,18,4,0.25,4,5.7.14,0,0,22,6,1727,135.26,0
smtp-mailer,1375224,90,65,10,1,1,6.9,6.9.1,0,0,8,2,1018,69.52,0
rss-importer,1343223,40,10,15,1,1,3,6.6.4,0,0,3,1,188,9.05,0
headers-security-advanced-hsts-wp,1303958,98,77,4,1,1,4.7,6.9.1,0.2,4,25,5,701,319.94,0
regenerate-thumbnails-advanced,1254757,64,59,10,1,1,4,6.9.1,0,0,65,36,6481,357.44,0
show-current-template,1246570,100,71,12,1,1,5.9,6.9.1,0,0,11,1,192,18.32,0
wordfence-login-security,1236838,80,25,6,1,1,4.7,6.7.4,1,0,124,86,9480,1426.27,0
elementor-beta,1225507,100,3,5,1,1,5.8,6.7.4,0,0,27,24,1425,49.26,0
heartbeat-control,1214693,84,68,11,2,0.5,3.6,6.3.7,0,0,415,78,16730,4083.69,0
cloudflare-flexible-ssl,1173199,96,51,11,1,1,3.2.0,6.9.1,0,0,4,2,170,9.42,0
https-redirection,1168325,84,71,11,1,1,6.5,6.9.1,0,0,35,24,2554,301.64,0
reveal-ids-for-wp-admin-25,1133843,100,61,17,1,1,3,6.9.99,0,0,33,3,272,244.67,0
widget-css-classes,1123509,98,74,13,1,1,3.3,6.7.4,0,0,21,6,1539,140.05,0
title-remover,1123122,78,68,11,4,0.25,2.5,5.7.14,0,1,2,1,85,5,0
genesis-enews-extended,1120923,94,28,13,1,1,4.9.6,6.8.3,0,0,49,4,506,166.77,0
ocean-product-sharing,1058782,0,0,9,1,1,5.6,6.8.3,0,0,26,6,755,73.78,0
colorlib-login-customizer,1052768,98,468,7,1,1,6,6.9.1,0,2,56,19,4410,1990.42,0
disable-emojis,1047080,100,107,10,1,1,4.8,6.8.3,0,0,4,1,69,20.42,0
exclude-pages,1037049,98,47,18,8,0.125,2.2.3,3.4.2,0,0,13,1,335,67.94,0
php-code-widget,994031,94,61,17,3,0.333,2.8,5.9.12,0,0,2,1,58,5.73,0
wp-add-custom-css,987836,96,90,11,1,1,4,6.8.3,0,0,30,3,394,981.93,0
disable-comments-rb,978823,74,23,8,1,1,3.1,6.9.1,1,0,18,4,516,510.95,0
widget-context,965913,90,96,16,1,1,3,6.6.4,0,0,26,16,2441,357.2,0
gravity-forms-zero-spam,949531,86,23,11,1,1,4.7,6.9.1,1,0,10,6,1928,117.71,0
blossomthemes-toolkit,943335,100,6,8,1,1,4.4.0,6.8.3,0,0,74,40,7866,3964.89,0
upload-max-file-size,932349,78,101,11,2,0.5,3,5.8.12,0,0,32,7,2038,2063.31,0
userway-accessibility-widget,914710,80,56,9,1,1,4.7,6.9.1,0,0,11,5,461,30.57,0
auto-image-attributes-from-filename-with-bulk-updater,905635,96,93,8,1,1,3.5.0,6.9.1,1,0,21,11,2464,233.43,0
disable-google-fonts,893426,88,42,12,7,0.143,3.5,5.1.21,0,1,2,1,391,15.4,0
column-shortcodes,893069,96,134,13,3,0.333,4.8,6.0.11,0,0,35,1,551,107.41,0
categories-images,889851,90,85,13,1,1,4,6.9.1,0,1,38,5,900,679.61,0
jwt-authentication-for-wp-rest-api,887771,88,53,10,1,1,4.2,6.9.1,0,1,184,131,6878,1415.49,0
portfolio-post-type,877972,94,14,14,5,0.2,3.8,5.5.17,0,0,18,12,1249,74.22,0
woocommerce-payfast-gateway,868968,60,7,7,1,1,6.7,6.9.1,0,0,21,6,2174,273.71,0
invisible-recaptcha,857526,86,133,9,5,0.2,4,5.4.18,0,0,58,53,15065,417.63,0
no-category-base-wpml,854356,92,33,14,1,1,5,6.8.3,0,0,3,2,126,8.59,0
cdn-enabler,848236,82,51,10,1,1,5.1,6.9.1,0,0,7,4,1193,51.41,0
crop-thumbnails,834433,92,67,13,1,1,5,6.8.3,0,1,17,11,1508,689.74,0
stripe,832393,88,116,11,1,1,5.9,6.8.3,0,1,1349,981,124717,8195.29,0
wp-sentry-integration,827317,98,16,9,1,1,4.4,6.8.3,0,0,348,333,28478,1857.87,0
skyboot-custom-icons-for-elementor,808759,100,19,5,1,1,5.9,6.8.3,1,0,119,22,16280,21391.18,0
wp-htaccess-editor,803899,100,102,14,1,1,4,6.9.1,0,0,21,3,1465,232.17,0
disable-xml-rpc-api,791031,82,42,5,1,1,5,6.9.1,0,0,117,67,6842,939.84,0
local-google-fonts,784269,92,83,3,1,1,4.6,6.8.3,0.5,1,10,6,783,45.64,0
loftloader,782670,90,33,10,1,1,6,6.9.1,0,0,59,15,1594,437.61,0
disable-json-api,752218,96,38,11,2,0.5,4.9,6.3.7,0,0,17,10,678,38.23,0
custom-typekit-fonts,743281,86,7,8,1,1,4.4,6.9.1,0,0,22,12,2152,86.69,0
customizer-search,742047,100,10,8,1,1,4.6,6.8.3,0,0,10,4,478,32.23,0
fakerpress,729953,98,205,11,1,1,5.5,6.8.3,0,0,788,650,143927,12714.25,0
clear-cache-for-widgets,727498,96,29,12,1,1,3.8,6.8.3,0,1,10,4,1011,50.89,0
custom-taxonomy-order-ne,716051,96,95,12,1,1,4.1,6.9.1,0,1,14,4,1279,80.9,0
hide-title,689687,74,87,13,6,0.167,3.2,5.2.23,0,0,2,1,123,9.06,0
say-what,687489,86,91,13,1,1,6.2,6.9.1,0,0,35,20,2168,1631.66,0
hide-page-and-post-title,674623,72,54,8,1,1,3.5,6.6.4,0,0,3,2,110,6.73,0
sierotki,630016,100,160,15,1,1,6,6.8.3,0,0,122,39,8161,519.96,0
wp-add-mime-types,626290,84,24,12,1,1,6.2,6.7.4,0,0,8,3,465,346.92,0
checkout-field-editor-and-manager-for-woocommerce,621831,98,161,6,1,1,4,6.9.1,0,0,89,17,3538,1769.62,0
ecommerce-companion,603018,100,1,3,1,1,6,6.9.1,0,0,583,250,32604,24382.44,0
disable-xml-rpc,599121,86,29,13,1,1,3.5,6.9.1,0,1,2,1,25,4.46,0
pwa,593532,86,27,7,1,1,6.6,6.8.3,0,0,129,56,5552,1899.31,0
html-editor-syntax-highlighter,589487,88,110,13,1,1,4,6.5.0,0,0,4,1,528,618.88,0
what-the-file,581599,98,882,13,1,1,3.1,6.9.1,0,0,7,3,394,21.24,0
woocommerce-mailchimp,575173,86,35,12,1,1,4.7.0,6.8.3,0,0,90,70,8947,983.82,0
duplicate-menu,568629,92,103,13,1,1,3.4.2,6.9.1,0,1,4,1,146,44.88,0
revision-control,557476,88,36,17,7,0.143,4,4.9.28,0,0,7,1,646,139.38,0
indexnow,551904,64,43,4,1,1,5.3,6.9.1,0,1,26,13,1415,2865.47,0
simple-css,551104,98,60,10,1,1,4,6.8.3,0,0,10,2,284,427.42,0
very-simple-event-list,546119,98,81,10,1,1,6,6.9.1,0.5,2,25,15,3603,271.95,0
wp-speed-of-light,542172,94,88,9,1,1,4.7,6.8.3,0,0,162,63,19105,5268.29,0
default-featured-image,538159,98,67,13,1,1,6.2,6.9.1,0,1,10,5,377,25.22,0
re-add-underline-justify,537503,94,26,9,1,1,4.7,6.9.1,0,0,5,2,145,14.67,0
woocommerce-auto-added-coupons,526950,100,69,11,1,1,5,6.9.1,0,2,90,18,5276,4555.35,0
media-sync,525131,94,82,7,1,1,5.3,6.9.1,1,0,8,2,1350,105.39,0
wpvulnerability,523402,100,20,3,1,1,4.7,6.9.1,0.5,1,53,17,15397,1472.38,0
login-as-user,512367,96,40,6,1,1,5.3,6.9.1,0,0,40,26,3115,294.98,0
bm-custom-login,511238,96,14,18,1,1,6.6,6.9.1,0,0,162,61,11744,1389.94,0
shortcode-in-menus,501014,94,81,12,1,1,3.6,6.9.1,0,0,10,5,514,27.78,0
display-php-version,499353,98,35,14,2,0.5,3,6.2.8,0,0,3,1,50,5.48,0
login-logo,495663,98,62,15,1,1,5.1.2,6.6.4,0,0,4,1,184,67.59,0
genesis-simple-share,482824,88,33,11,1,1,3.7,6.9.1,0,0,29,7,1655,268.45,0
analytify-analytics-dashboard-widget,476989,100,4,9,1,1,4,6.9.1,0,0,26,6,1392,194.8,0
remove-category-url,476269,84,58,11,1,1,3.1,6.9.1,0,0,70,44,10835,1035.13,0
wp-scss,476259,86,61,12,1,1,3.0.1,6.8.3,0,0,244,237,40379,1320.59,0
remove-powered-by-wp,476256,92,20,8,1,1,4.6,6.9.1,1,0,4,2,1086,57.48,0
desert-companion,475057,74,3,3,1,1,4.6,6.9.1,0,0,422,288,30907,9593.46,0
disable-emails,467103,100,20,12,1,1,5.5,6.9.1,1,0,23,13,992,50.09,0
remove-dashboard-access-for-non-admins,466620,92,78,14,1,1,3.1.0,6.7.4,0,0,13,8,872,39.57,0
lightweight-social-icons,464543,94,63,11,5,0.2,4.5,5.4.18,0,0,11,1,579,211.94,0
wcboost-variation-swatches,453720,96,5,4,1,1,4.5,6.9.1,0,0,24,13,3040,161.56,0
kt-tinymce-color-grid,442000,98,57,11,2,0.5,5.2,5.3.20,0,0,21,2,3114,288.04,0
elegro-payment,438969,100,12,7,6,0.167,4.6,4.9.28,0,0,10,1,205,1688.46,0
taxjar-simplified-taxes-for-woocommerce,424619,52,28,12,1,1,5.4,6.9.1,0,0,76,60,9932,1211.14,0
disable-xml-rpc-pingback,419575,78,14,11,1,1,4.8,6.8.3,0,0,3,1,56,21.68,0
unbounce,416619,64,11,10,1,1,4.1.5,6.7.4,0,0,33,24,3492,261.63,0
scheduled-post-trigger,385906,88,27,9,1,1,4.2,6.8.3,0,0,2,1,38,3.96,0
woo-store-vacation,380337,92,173,9,1,1,5.9,6.8.3,0.5,1,100,73,6529,403.34,0
loginradius-for-wordpress,367281,22,36,14,5,0.2,3.5,5.5.17,0,0,200,47,8784,1379.16,0
cf7-to-zapier,350130,100,50,8,1,1,4.7,6.9.1,0.25,3,13,9,1824,113.05,0
wp-call-button,341601,92,62,6,1,1,4.9,6.7.4,0,0,59,17,2174,1077.35,0
social-icons,338652,90,15,10,5,0.2,4.7,5.6.16,0,0,55,22,3712,1087.52,0
zoho-mail,334464,76,41,8,1,1,4.8,6.9.1,0,0,8,1,962,132.44,0
wc-smart-cod,328832,92,52,8,1,1,3.0.1,6.8.3,0,1,29,17,2753,253.28,0
debloat,326934,96,41,4,1,1,5,6.9.1,1,0,471,148,27265,3438.19,0
document-gallery,320062,96,112,13,1,1,6.1,6.9.1,0,2,118,36,6588,2121.92,0
wc-apg-nifcifnie-field,315552,96,23,9,1,1,5,6.9.1,0,1,41,21,3684,454.97,0
featured-video-plus,314895,96,80,13,8,0.125,3.7,4.7.31,0,1,48,12,3365,281.92,0
fonts,310094,88,98,13,1,1,4,6.8.3,0,0,6,1,421,112.77,0
acf-image-aspect-ratio-crop,307504,96,26,7,1,1,4.9,6.8.3,0,0,25,2,2166,741.81,0
really-simple-csv-importer,304152,98,107,12,8,0.125,3.6,4.3.34,1,0,30,6,1230,174.4,0
woo-custom-stock-status,291179,84,37,9,1,1,5.8,6.7.4,0,1,24,9,2098,1750.06,0
icon-block,288867,100,29,4,1,1,6.5,6.9.1,0,0,11,4,45,311.49,0
wp-help,286427,96,54,14,1,1,4.9,6.5.7,0,0,18,11,1078,63.12,0
mysterythemes-demo-importer,282133,40,4,5,1,1,5,6.8.3,0,0,23,14,4511,589.53,0
wp-super-cache-clear-cache-menu,279094,62,11,11,1,1,3.0.1,6.9.1,0,0,5,1,50,12.31,0
flying-scripts,271374,100,37,6,1,1,4.5,6.9.1,0,1,14,12,2347,80.21,0
wp-author-date-and-meta-remover,265283,64,26,11,5,0.2,3.0.1,5.6.16,0,0,3,1,30,7.81,0
funnelkit-stripe-woo-payment-gateway,263942,98,49,3,1,1,5.4,6.9.1,0.67,1,868,662,85372,7346.81,0
contact-form-7-add-confirm,256521,100,4,11,8,0.125,3.8,4.9.28,0,0,13,6,654,39.69,0
automatic-updater,255030,94,61,13,4,0.25,3.7,5.0.24,0,0,20,2,671,216.96,0
bogo,250430,90,46,16,1,1,6.7,6.9.1,0,0,41,30,4851,190.14,0
blogger-importer-extended,245688,94,129,11,1,1,5.8,6.9.1,0,0,15,6,1460,164.69,0
smart-image-resize,244495,92,82,7,1,1,4,6.9.1,0,0,355,318,34688,2327.64,0
wp-display-header,238719,90,27,14,2,0.5,3.2,6.4.7,0,0,11,4,873,44.78,0
options-for-twenty-twenty-one,238207,98,64,5,1,1,4.6,6.9.1,0,0,6,2,4340,282.16,0
meta-generator-and-version-info-remover,234196,100,28,12,1,1,3,6.8.3,0,0,7,1,655,69.62,0
woocommerce-extra-product-sorting-options,233705,92,31,11,1,1,5.6,6.9.1,0,0,9,2,818,95.18,0
athemes-blocks,232135,20,1,4,1,1,5.5,6.6.4,0,0,4117,126,29166,19191.28,0
database-for-wpforms,223822,100,130,6,1,1,4.8,6.9.1,1,0,9,6,925,41.09,0
wpzoom-forms,216716,100,2,2,1,1,6,6.9.1,1,0,152,24,5643,1562.98,0
taxonomy-images,216480,88,40,16,2,0.5,4.4,6.4.7,0,0,40,22,4228,208.42,0
wp-pagenavi-style,212708,96,16,14,8,0.125,3,3.9.40,0,0,110,5,422,309.16,0
wp-bottom-menu,212259,90,23,5,1,1,5,6.8.3,0,0,36,8,1705,2360.74,0
disable-blog,208926,94,14,11,1,1,5.9,6.9.1,1,0,23,14,3151,188.69,0
iyzico-woocommerce,202952,34,19,7,1,1,6.6.2,6.9.1,0,0,500,470,22923,1496,0
acf-rus-to-lat,191518,0,0,9,7,0.143,4,5.0.0,0,0,6,2,513,181.92,0
add-category-to-pages,187067,94,30,11,6,0.167,3.3,5.2.23,0,0,2,1,26,2.97,0
woo-instamojo,186384,62,13,10,1,1,4.6,6.5.7,0,0,14,10,659,280.91,0
layout-grid,184439,94,13,6,2,0.5,5.8,6.2.8,0,1,9,3,65,170.58,0
add-logo-to-admin,183725,92,12,17,8,0.125,3.5,4.3.34,0,0,9,1,224,99.28,0
plugin-load-filter,179818,96,52,10,1,1,6,6.9.1,0,1,9,2,2603,282.1,0
highlight-search-terms,177509,100,40,16,1,1,3.7,6.5.7,0,0,10,4,283,131.71,0
frontend-reset-password,166420,88,38,8,1,1,4.4,6.9.1,0.75,1,33,16,2990,1173.89,0
auto-post-scheduler,160385,94,36,11,1,1,3,6.3.7,0,0,7,2,897,88.96,0
sakura-rs-wp-ssl,159234,0,0,8,6,0.167,4.7.0,5.3.20,0,0,12,8,810,293.87,0
code-block-pro,156932,96,48,3,1,1,6,6.8.3,0.5,1,763,6,129,18895.95,0
sharedaddy,156477,80,1,15,13,0.077,3,3.1.4,0,0,58,5,1752,360.77,0
insights,150050,96,5,17,11,0.091,2.3,4.2.39,0,0,25,3,392,338.62,0
wc-ukr-shipping,146158,94,54,6,1,1,FALSE,6.9.1,0,0,313,269,16174,2336.53,0
woo-virtual-reviews,142555,92,55,7,1,1,5,6.9.1,0,0,60,9,2321,1760.84,0
post-types-unlimited,141934,100,9,6,1,1,5.7,6.8.3,0,0,12,7,2610,154.3,0
advanced-post-queries,139482,98,40,6,1,1,4.6,6.7.4,0.5,1,6,5,776,34.53,0
added-to-cart-popup-woocommerce,137689,88,70,9,1,1,4,6.9.1,0,0,44,20,2308,272.21,0
flexy-breadcrumb,137208,94,20,9,1,1,4.6,6.7.4,0,1,50,21,2015,2421.99,0
disable-cart-fragments,132678,98,16,6,1,1,4.6,6.8.3,0,1,5,3,202,47.73,0
wc-cancel-order,132083,98,23,11,1,1,6.7,6.8.3,0,0,37,17,1542,230.3,0
easy-notification-bar,131277,92,16,6,1,1,6.3,6.8.3,0,0,8,2,1133,79.04,0
wp-contact-form-7-spam-blocker,129871,82,12,5,1,1,5.2,6.8.3,0.33,2,22,14,892,72.61,0
pages-with-category-and-tag,127891,96,26,7,1,1,3,6.9.1,0,1,5,1,46,7.05,0
subtitles,125292,96,53,11,8,0.125,3.9,4.8.27,0,0,40,13,1353,100.76,0
product-visibility-by-user-role-for-woocommerce,124338,74,20,8,1,1,4.4,6.9.1,1,0,15,10,2020,146.59,0
t4b-news-ticker,123512,90,15,11,1,1,5.2,6.8.3,0,1,26,10,2088,270.14,0
bp-verified-member,122213,94,15,6,1,1,5.4,6.8.3,0,0,41,6,2421,621.59,0
bulk-media-register,122037,90,22,5,1,1,4.6,6.9.1,0,0,11,5,2617,191.87,0
coupon-generator-for-woocommerce,121764,90,35,10,1,1,4.0.0,6.7.4,0,0,17,7,641,596.5,0
fsm-custom-featured-image-caption,120870,92,22,8,1,1,FALSE,6.8.3,0,0,12,3,746,65.54,0
product-export-for-woocommerce,115892,94,23,4,1,1,5,6.9.1,0,0,23,16,2066,199.01,0
avatar-manager,114371,98,39,13,5,0.2,3.5,5.6.16,0,0,24,3,1303,132.32,0
read-meter,111434,90,19,6,1,1,4.2,6.8.3,0,0,29,9,1935,151.13,0
themeinwp-import-companion,107213,0,0,5,3,0.333,FALSE,6.1.9,0,0,4,2,216,14.83,0
revisionize,102974,92,24,9,4,0.25,4.6,5.2.23,0,0,5,3,982,79.49,0
coinbase-commerce,102127,62,16,7,1,1,3,6.5.7,0,0,32,10,1732,249.89,0
auto-tag,101799,82,20,16,13,0.077,3,3.4.2,0,0,13,5,564,44.61,0
lightbox-images-for-divi,100781,100,14,8,1,1,5,6.9.1,0,0,3,1,309,25.75,0
the-paste,99197,96,35,8,1,1,4.8,6.9.1,0,0,34,19,1561,289.11,0
max-upload-filesize,98135,100,4,6,6,0.167,5.0.4,5.3.20,0,0,3,2,79,4.25,0
woo-satispay,98068,86,7,8,1,1,5,6.9.1,0,1,16,9,980,45.21,0
custom-payment-gateways-woocommerce,95667,78,19,9,1,1,4.4,6.9.1,0,1,23,17,2791,144.55,0
evermore,95643,100,5,20,1,1,3,6.9.1,0,0,2,1,260,17.61,0
facebook-like-thumbnail,95531,84,5,15,6,0.167,3.1,5.2.23,0,0,5,3,225,16.31,0
smart-archive-page-remove,94949,98,59,11,1,1,4,6.3.7,0,0,32,18,1946,85.61,0
elemailer-lite,93480,90,28,5,1,1,5.8,6.7.4,0,0,342,162,13850,2631.78,0
pay-via-barion-for-woocommerce,92151,92,18,9,1,1,4,6.8.3,0,0,106,64,4143,898.71,0
toolbar-publish-button,91465,96,46,12,4,0.25,5,5.8.12,0,0,13,2,464,48.65,0
add-on-contact-form-7-mailpoet,90564,78,16,8,1,1,5.3,6.5.7,0,0,23,14,1367,396.98,0
table-of-contents-block,90480,86,7,5,1,1,5.6,6.6.4,0,0,65,11,1235,9149.5,0
wp-visitors-widget,85629,80,12,7,2,0.5,4,6.2.8,0,0,26,6,1261,959.46,0
mime-types-plus,85349,76,10,10,1,1,4.7,6.9.1,0,0,6,5,918,34.16,0
wp-remove-category-base,81924,100,10,11,8,0.125,3.5,4.2.39,0,0,3,1,104,37.57,0
gravity-forms-css-ready-selector,81561,94,10,14,8,0.125,3,3.5.2,0,0,6,2,282,50.76,0
responsive-video-embeds,80323,78,21,13,8,0.125,3,3.7.41,0,0,5,1,100,100.63,0
allow-multiple-accounts,79762,100,22,16,8,0.125,3.6,4.2.39,0,0,9,4,1880,104.52,0
redirect-404-error-page-to-homepage,77367,40,1,9,4,0.25,3,5.7.14,0,0,3,2,24,2.31,0
pinterest-master,77279,74,18,12,4,0.25,3.5,5.7.14,0,0,25,14,875,461.41,0
excerpt-editor,76969,80,1,18,16,0.062,2.6,2.9.2,0,0,12,2,794,125.14,0
page-optimize,74581,60,5,6,1,1,5.3,6.9.1,0,0,25,13,3053,139.86,0
jquery-categories-list,73880,96,16,15,1,1,6.1,7,1,0,65,7,831,1737.93,0
wp-minify-fix,73680,80,40,11,8,0.125,2.8,4.3.34,0,0,68,49,11677,543.72,0
collabpress,73449,72,9,16,12,0.083,3.5,3.5.2,0,0,115,47,7526,1071.03,0
cdek-delivery-calculator,73138,60,2,7,7,0.143,4.6,4.9.28,0,0,8,4,557,39.57,0
disable-author-archives,72085,88,7,7,1,1,2.9,6.9.1,0,0,3,2,42,3.45,0
wp-global-site-tag,71736,100,3,8,1,1,3.0.1,6.8.3,0,0,30,21,1317,146.79,0
wp-keep-me-logged-in,71199,0,0,15,3,0.333,2.5,6.1.9,0,0,2,1,18,1.83,0
create-and-assign-categories-for-pages,70901,94,10,8,2,0.5,5.3,6.4.7,0,0,2,1,30,3.48,0
per-page-sidebars,67706,84,10,15,7,0.143,3.1,4.9.28,0,0,12,1,193,1100.34,0
code-block-for-elementor,65290,100,8,5,2,0.5,5,6.3.7,0,0,16,3,611,556.35,0
easygravatars,64579,100,1,18,16,0.062,2.0.4,3.0.5,0,0,3,1,223,13.58,0
yith-proteo-toolkit,64146,100,1,5,1,1,5.3,6.6.4,0,0,73,43,13714,1267.16,0
page-tagger,64130,100,1,16,8,0.125,2.8.4,3.4.2,0,0,6,2,242,53.94,0
wp-carousel,64092,0,0,16,14,0.071,3,3.3.2,0,0,251,51,8405,4042.5,0
manage-xml-rpc,64018,60,4,9,1,1,4,6.7.4,0,0,2,1,354,14.44,0
wp-upload-size,62325,90,8,7,1,1,5.9,6.6.4,0,0,2,1,47,4.06,0
change-quantity-on-checkout-for-woocommerce,61753,100,52,9,1,1,1.4,6.9.1,0,0,18,7,955,3644.85,0
remove-widget-titles,61612,100,27,14,8,0.125,2.6.0,4.8.27,0,0,2,1,32,4.3,0
custom-category-templates,61285,86,6,14,10,0.1,3.4.0,4.4.34,0,0,2,1,147,7.05,0
wp-http-compression,60973,46,8,16,13,0.077,3.4.1,2.9.2,0,0,4,1,27,64.1,0
ios-images-fixer,58978,92,30,11,1,1,4.0.0,6.5.7,0,0,6,3,503,51.55,0
hotline-phone-ring,58303,100,3,7,4,0.25,FALSE,5.2.23,0,0,14,4,464,69.7,0
block-for-woo-product-table,58078,66,4,5,1,1,6.1.0,6.7.4,0,0,81,5,628,4714.72,0
bbpress-integration,57779,0,0,19,16,0.062,2.7,2.8,0,0,3,1,402,35.13,0
woocommerce-filter-orders-by-product,57769,94,15,10,1,1,3.0.1,6.8.3,0,0,8,6,292,14.83,0
flexslider-hg,57354,76,12,13,4,0.25,FALSE,5.7.14,0,0,13,2,584,68.41,0
showid-for-postpagecategorytagcomment,56843,100,6,16,2,0.5,3.9,6.3.7,0,0,3,1,82,10.86,0
great-real-estate,56020,100,1,17,10,0.1,4,4.3.34,0,0,180,75,6690,1197.15,0
bambora-online-checkout,55304,100,1,9,1,1,6.6,6.9.1,0,0,41,24,4253,345.21,0
wp-responsive-table,54213,96,13,7,5,0.2,4,5.6.16,0,0,39,18,1367,215.78,0
art-woocommerce-order-one-click,53483,100,36,7,1,1,5.5,6.8.3,0,1,66,49,5708,390.09,0
advanced-export-for-wp-wpmu,52811,74,3,16,10,0.1,2.7,4.8.27,0,0,2,1,430,20.84,0
all-in-one-contact-buttons-wpshare247,51874,100,1,4,1,1,4.9,6.6.4,0,0,2260,12,1957,28796.53,0
social-linkz,51532,70,2,14,1,1,5.0.0,6.8.3,0,0,365,287,60327,4109.71,0
advanced-spoiler,51217,100,1,16,8,0.125,2.7,2.8.6,0,0,51,2,430,222.62,0
display-tweets-php,51126,100,14,12,8,0.125,3.5,3.6.1,0,0,19,10,1946,89.79,0
http-authentication,50608,100,1,21,1,1,3.1,6.5.7,0,0,8,2,411,308.48,0
lj-xp,50187,46,6,16,11,0.091,2.8,4.1.42,0,0,12,3,1575,531.16,0
jquery-slider,48995,100,3,14,13,0.077,2.8,3.4.2,0,0,80,3,1366,2245.02,0
wc-custom-thank-you,48444,100,7,10,1,1,6.5,6.9.1,0,0,130,30,1617,521.12,0
really-simple-click-to-call,47559,90,11,9,6,0.167,4.0.0,5.2.23,0,0,8,1,131,16.18,0
